,precision,recall,f1-score,support
apple_pie,0.7613636363636364,0.67,0.7127659574468085,100.0
baby_back_ribs,0.8144329896907216,0.79,0.802030456852792,100.0
baklava,0.8317757009345794,0.89,0.8599033816425121,100.0
beef_carpaccio,0.9230769230769231,0.84,0.8795811518324608,100.0
beef_tartare,0.8247422680412371,0.8,0.8121827411167513,100.0
beet_salad,0.81,0.81,0.81,100.0
beignets,0.8913043478260869,0.82,0.8541666666666666,100.0
bibimbap,0.8796296296296297,0.95,0.9134615384615385,100.0
bread_pudding,0.6727272727272727,0.74,0.7047619047619048,100.0
breakfast_burrito,0.7961165048543689,0.82,0.8078817733990147,100.0
bruschetta,0.7391304347826086,0.85,0.7906976744186046,100.0
caesar_salad,0.9270833333333334,0.89,0.9081632653061226,100.0
cannoli,0.8666666666666667,0.91,0.8878048780487805,100.0
caprese_salad,0.8095238095238095,0.85,0.8292682926829269,100.0
carrot_cake,0.8585858585858586,0.85,0.8542713567839195,100.0
ceviche,0.8404255319148937,0.79,0.8144329896907218,100.0
cheese_plate,0.9134615384615384,0.95,0.9313725490196078,100.0
cheesecake,0.8111111111111111,0.73,0.768421052631579,100.0
chicken_curry,0.8842105263157894,0.84,0.8615384615384616,100.0
chicken_quesadilla,0.8617021276595744,0.81,0.8350515463917526,100.0
chicken_wings,0.8942307692307693,0.93,0.911764705882353,100.0
chocolate_cake,0.7289719626168224,0.78,0.7536231884057971,100.0
chocolate_mousse,0.652542372881356,0.77,0.7064220183486238,100.0
churros,0.8910891089108911,0.9,0.8955223880597015,100.0
clam_chowder,0.9207920792079208,0.93,0.9253731343283582,100.0
club_sandwich,0.8613861386138614,0.87,0.8656716417910448,100.0
crab_cakes,0.8315789473684211,0.79,0.8102564102564104,100.0
creme_brulee,0.9081632653061225,0.89,0.8989898989898989,100.0
croque_madame,0.9139784946236559,0.85,0.8808290155440415,100.0
cup_cakes,0.8811881188118812,0.89,0.8855721393034827,100.0
deviled_eggs,0.9381443298969072,0.91,0.9238578680203046,100.0
donuts,0.8282828282828283,0.82,0.8241206030150754,100.0
dumplings,0.9166666666666666,0.88,0.8979591836734694,100.0
edamame,1.0,0.99,0.9949748743718593,100.0
eggs_benedict,0.912621359223301,0.94,0.9261083743842364,100.0
escargots,0.8865979381443299,0.86,0.8730964467005077,100.0
falafel,0.875,0.91,0.892156862745098,100.0
filet_mignon,0.6494845360824743,0.63,0.6395939086294417,100.0
fish_and_chips,0.92,0.92,0.92,100.0
foie_gras,0.6705882352941176,0.57,0.6162162162162161,100.0
french_fries,0.967391304347826,0.89,0.9270833333333334,100.0
french_onion_soup,0.8461538461538461,0.88,0.8627450980392156,100.0
french_toast,0.8181818181818182,0.81,0.8140703517587939,100.0
fried_calamari,0.8921568627450981,0.91,0.900990099009901,100.0
fried_rice,0.925531914893617,0.87,0.8969072164948454,100.0
frozen_yogurt,0.8653846153846154,0.9,0.8823529411764707,100.0
garlic_bread,0.8725490196078431,0.89,0.8811881188118812,100.0
gnocchi,0.7631578947368421,0.87,0.8130841121495327,100.0
greek_salad,0.8301886792452831,0.88,0.8543689320388349,100.0
grilled_cheese_sandwich,0.7663551401869159,0.82,0.7922705314009661,100.0
grilled_salmon,0.7798165137614679,0.85,0.8133971291866028,100.0
guacamole,0.9791666666666666,0.94,0.9591836734693877,100.0
gyoza,0.8018867924528302,0.85,0.8252427184466019,100.0
hamburger,0.8365384615384616,0.87,0.8529411764705882,100.0
hot_and_sour_soup,0.9509803921568627,0.97,0.9603960396039604,100.0
hot_dog,0.9518072289156626,0.79,0.8633879781420766,100.0
huevos_rancheros,0.8282828282828283,0.82,0.8241206030150754,100.0
hummus,0.8932038834951457,0.92,0.9064039408866995,100.0
ice_cream,0.8085106382978723,0.76,0.7835051546391754,100.0
lasagna,0.84375,0.81,0.826530612244898,100.0
lobster_bisque,0.88,0.88,0.88,100.0
lobster_roll_sandwich,0.9207920792079208,0.93,0.9253731343283582,100.0
macaroni_and_cheese,0.8494623655913979,0.79,0.8186528497409327,100.0
macarons,0.9320388349514563,0.96,0.9458128078817734,100.0
miso_soup,0.9504950495049505,0.96,0.9552238805970149,100.0
mussels,0.9587628865979382,0.93,0.9441624365482233,100.0
nachos,0.9029126213592233,0.93,0.916256157635468,100.0
omelette,0.8446601941747572,0.87,0.8571428571428571,100.0
onion_rings,0.9047619047619048,0.95,0.9268292682926829,100.0
oysters,0.9611650485436893,0.99,0.9753694581280788,100.0
pad_thai,0.93,0.93,0.93,100.0
paella,0.8867924528301887,0.94,0.912621359223301,100.0
pancakes,0.8762886597938144,0.85,0.8629441624365483,100.0
panna_cotta,0.7154471544715447,0.88,0.789237668161435,100.0
peking_duck,0.82,0.82,0.82,100.0
pho,0.978494623655914,0.91,0.9430051813471503,100.0
pizza,0.93,0.93,0.93,100.0
pork_chop,0.6666666666666666,0.66,0.6633165829145728,100.0
poutine,0.8867924528301887,0.94,0.912621359223301,100.0
prime_rib,0.898876404494382,0.8,0.8465608465608465,100.0
pulled_pork_sandwich,0.8829787234042553,0.83,0.8556701030927835,100.0
ramen,0.8425925925925926,0.91,0.8749999999999999,100.0
ravioli,0.8023255813953488,0.69,0.7419354838709676,100.0
red_velvet_cake,0.8850574712643678,0.77,0.823529411764706,100.0
risotto,0.8865979381443299,0.86,0.8730964467005077,100.0
samosa,0.8910891089108911,0.9,0.8955223880597015,100.0
sashimi,0.9340659340659341,0.85,0.8900523560209425,100.0
scallops,0.7053571428571429,0.79,0.7452830188679247,100.0
seaweed_salad,0.9795918367346939,0.96,0.9696969696969697,100.0
shrimp_and_grits,0.8333333333333334,0.85,0.8415841584158417,100.0
spaghetti_bolognese,0.9411764705882353,0.96,0.9504950495049505,100.0
spaghetti_carbonara,0.9411764705882353,0.96,0.9504950495049505,100.0
spring_rolls,0.93,0.93,0.93,100.0
steak,0.6404494382022472,0.57,0.6031746031746033,100.0
strawberry_shortcake,0.8365384615384616,0.87,0.8529411764705882,100.0
sushi,0.8958333333333334,0.86,0.8775510204081632,100.0
tacos,0.7889908256880734,0.86,0.8229665071770336,100.0
takoyaki,0.9278350515463918,0.9,0.9137055837563451,100.0
tiramisu,0.8529411764705882,0.87,0.8613861386138614,100.0
tuna_tartare,0.7373737373737373,0.73,0.7336683417085427,100.0
waffles,0.85,0.85,0.85,100.0
accuracy,0.8569306930693069,0.8569306930693069,0.8569306930693069,0.8569306930693069
macro avg,0.8584067910017982,0.856930693069307,0.8567615850955407,10100.0
weighted avg,0.8584067910017981,0.8569306930693069,0.8567615850955406,10100.0
